date,volume_change,high_low_ratio,target,headline,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded,close_norm,price_change_norm,news_count_capped,headline_clean,word_count,lag1_price,lag2_price,lag3_price,rolling_mean3,rolling_std3,rolling_mean5,sentiment_proxy
2023-01-10,-0.2533318206998685,0.0,1,Apple market update,17.972770465311235,1,1,1,0,0,0,-2.0365783451977646,0.2033246557685104,0.5265890341390445,apple market update,3,0.1786596635036834,-0.7277788022287116,0.5609670436085031,-0.1152648276521726,0.5305960019162581,0.0537931401629963,0.0
2023-01-12,0.0896888694702892,0.0,1,Apple market update,18.0835226862096,3,1,1,0,0,0,-1.973260632966483,-0.1111539956080347,0.5265890341390445,apple market update,3,1.226921834758834,0.2033246557685104,0.1786596635036834,0.4396974983064365,0.6996540734320716,0.1539946712388562,0.0
2023-01-13,-0.5427102114283452,0.0,1,Apple market update,17.872667156929733,4,1,1,0,1,0,-1.9412406492145424,0.5486345474760895,0.5265890341390445,apple market update,3,-0.1111539956080347,1.226921834758834,0.2033246557685104,0.5548007955422963,0.6690592267612837,0.4092773411798164,0.0
2023-01-18,0.2524007318313299,0.0,1,Apple market update,18.059320570016148,2,1,1,0,0,0,-1.9306475718830731,-0.4071339027859597,0.5265890341390445,apple market update,3,0.4684733226154015,0.5486345474760895,-0.1111539956080347,0.2033246557685105,0.5301897719468874,0.3451483612912661,0.0
2023-01-19,-0.4565541768270512,0.0,1,Apple market update,17.880776419844135,3,1,1,0,0,0,-1.9292030613378728,-0.049491514945967,0.5265890341390445,apple market update,3,-0.4071339027859597,0.4684733226154015,0.5486345474760895,0.003949301627825,0.4402430509966315,0.0898656913503058,0.0
2023-01-20,0.8174840250741575,0.0,1,Apple market update,18.200328306353796,4,1,1,0,1,0,-1.867570611409325,1.1097631215009054,0.5265890341390445,apple market update,3,-0.049491514945967,-0.4071339027859597,0.4684733226154015,0.2177125679229929,0.7929644771356205,0.3340491147720938,0.0
2023-01-23,0.068063055374849,0.0,1,Apple market update,18.21930236591974,0,1,1,1,0,0,-1.790770800756173,1.3749117883477966,0.5265890341390445,apple market update,3,1.1097631215009054,-0.049491514945967,-0.4071339027859597,0.8117277983009118,0.7575288661263939,0.4993045629464353,0.0
2023-01-25,-0.0069866732535375,0.0,1,Apple market update,18.002119773138816,2,1,1,0,0,0,-1.773195922456235,-0.3639701663225123,0.5265890341390445,apple market update,3,0.5486345474760895,1.3749117883477966,1.1097631215009054,0.5198587231671247,0.8697980507669605,0.5239695552112623,0.0
2023-01-26,-0.5022326652217131,0.0,1,Apple market update,17.80643902772674,3,1,1,0,0,0,-1.7233603086468232,0.8384482065878077,0.5265890341390445,apple market update,3,-0.3639701663225123,0.5486345474760895,1.3749117883477966,0.3410375292471284,0.6275148423433841,0.7015574995180173,0.0
2023-01-30,-0.2394672319828074,0.0,1,Apple market update,17.974632690874326,0,1,1,1,0,0,-1.746231725612495,-1.313572368518355,0.5265890341390445,apple market update,3,0.7706194778595332,0.8384482065878077,-0.3639701663225123,0.0984984386429954,1.2233593737893227,0.0960319394165125,0.0
2023-01-31,0.0929758752879849,0.0,1,Apple market update,18.00326198984455,1,1,1,0,0,0,-1.7156562524057548,0.480805818747815,0.5265890341390445,apple market update,3,-1.313572368518355,0.7706194778595332,0.8384482065878077,-0.0207156906370021,1.1289848455177496,0.0824661936708576,0.0
2023-02-01,0.4396548344565758,0.0,1,Apple market update,18.167897249979816,2,2,1,0,0,0,-1.688692055562015,0.4129770900195406,0.5265890341390445,apple market update,3,0.480805818747815,-1.313572368518355,0.7706194778595332,-0.1399298199169996,1.0169699150052751,0.2378556449392682,0.0
2023-02-06,-1.9523154728283671,0.0,1,Apple market update,18.06197947697851,0,2,1,1,0,0,-1.539425965891313,-1.177914911061806,0.5265890341390445,apple market update,3,0.4129770900195406,0.480805818747815,-1.313572368518355,-0.0947106674314833,0.9386952429698776,-0.1654169785906545,0.0
2023-02-09,-0.340898965407362,0.0,1,Apple market update,17.840989044231957,3,2,1,0,0,0,-1.5598898652816509,-0.4996276237790611,0.5265890341390445,apple market update,3,-1.1655824149293923,1.1097631215009054,-1.177914911061806,-0.1851489724025158,1.1698170558540455,-0.2640769476499628,0.0
2023-02-10,0.0848750623805009,0.0,1,Apple market update,17.866437764099306,4,2,1,0,1,0,-1.5509820502529157,0.079999694444375,0.5265890341390445,apple market update,3,-0.4996276237790611,-1.1655824149293923,1.1097631215009054,-0.528403448088026,0.6232894462819795,-0.3306724267649958,0.0
2023-02-14,-0.0024787307450995,0.0,1,Apple market update,17.93791767415672,1,2,1,0,0,0,-1.4992204223832362,-0.3331389259914784,0.5265890341390445,apple market update,3,1.0850981292360784,0.079999694444375,-0.4996276237790611,0.2773196325629918,0.7294178875579377,-0.1666502282038957,0.0
2023-02-22,-0.3624079503555731,0.0,1,Apple market update,17.747557754376846,2,2,1,0,0,0,-1.600817664062327,0.1046646867092021,0.5265890341390445,apple market update,3,-0.5366251121763018,-0.715446306096298,0.7829519739919467,-0.3824689105211324,0.4312407807845499,-0.1395187367125859,0.0
2023-02-24,0.368926041025801,0.0,1,Apple market update,17.831345698928207,4,2,1,0,1,0,-1.6530607954470733,-1.1840811591280125,0.5265890341390445,apple market update,3,0.1293296789740292,0.1046646867092021,-0.5366251121763018,-0.3166955978149269,0.751279158796295,-0.4404316423434762,0.0
2023-03-01,0.2591500353067332,0.0,1,Apple market update,17.831515146759962,2,3,1,0,0,0,-1.686284537986681,-0.9497637326121554,0.5265890341390445,apple market update,3,-0.2838089414618243,0.4314758342181609,-1.1840811591280125,-0.2673656132852728,0.6907665832432411,-0.3713696640019605,0.0
2023-03-02,-0.1406163990052927,0.0,1,Apple market update,17.771322690816895,3,3,1,0,0,0,-1.672080184292211,0.1786596635036834,0.5265890341390445,apple market update,3,-0.9497637326121554,-0.2838089414618243,0.4314758342181609,-0.3516376701900987,0.5672613088833679,-0.3615036670960296,0.0
2023-03-07,-1.1469093145757507,0.0,1,Apple market update,17.84410699666361,1,3,1,0,0,0,-1.5370184483159783,-0.9682624768107756,0.5265890341390445,apple market update,3,1.066599385037458,0.1786596635036834,-0.9497637326121554,0.0923321905767887,1.0201740163509228,-0.1913152204687228,0.0
