date,headline,url,source,company,ticker
2026-06-04,不要只盯着芯片 ！ Bill Ackman ： 优质巨头正在被遗忘 ， 警惕重蹈  科网泡沫  覆辙|浪潮|知名企业|ackman,https://www.163.com/dy/article/KUJF2R5P05198NMR.html,163.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts . A look at the biggest players,https://www.dailygazette.com/ap/business/ai-companies-are-barreling-toward-huge-wall-street-debuts-a-look-at-the-biggest-players/article_559f035a-2a2b-51aa-af17-373a858a08c2.html,dailygazette.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts . A look at the biggest players,https://www.mankatofreepress.com/news/state_national_news/ai-companies-are-barreling-toward-huge-wall-street-debuts-a-look-at-the-biggest-players/article_d36ecd12-6f15-5b1e-b07a-be418897ecf7.html,mankatofreepress.com,Microsoft,MSFT
2026-06-04,65000亿 ， 史上最大AI公司要IPO了,https://finance.sina.com.cn/tech/roll/2026-06-04/doc-iniafrtt2608707.shtml,finance.sina.com.cn,Microsoft,MSFT
2026-06-04,"Critical Metals Riding the Wave of Industrial Demand ! NASDAQ Hits 30 , 000 , and Almonty Gears Up for the Russell 1 , 000 | 2026 - 06 - 04 | Investing News",https://stockhouse.com/opinion/contributors/2026/06/04/critical-metals-riding-wave-industrial-demand-nasdaq-hits-30-000-and-almonty,stockhouse.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts . A look at the biggest players,https://abcnews.com/US/wireStory/ai-companies-barreling-huge-wall-street-debuts-biggest-133575176,abcnews.com,Microsoft,MSFT
2026-06-04,Stock Indexes Post New Record Highs Amid AI Enthusiasm,https://finance.yahoo.com/markets/stocks/articles/stock-indexes-post-record-highs-203234224.html,finance.yahoo.com,Microsoft,MSFT
2026-06-04,高盛辣评  AI巨浪 ： 到2030年 仅四巨头支出规模就将超过日本GDP ！ _ 东方财富网,https://finance.eastmoney.com/a/202606043760011324.html,finance.eastmoney.com,Microsoft,MSFT
2026-06-04,Microsoft Stock Just Hit a 3 - Month High . Investors Can Thank a  New Era of PC . ,https://finance.yahoo.com/markets/stocks/articles/microsoft-stock-just-hit-3-203530947.html,finance.yahoo.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts,https://abcnews.com/Technology/wireStory/ai-companies-barreling-huge-wall-street-debuts-biggest-133575199,abcnews.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts . A look at the biggest players,https://www.clickondetroit.com/tech/2026/06/04/ai-companies-are-barreling-toward-huge-wall-street-debuts-a-look-at-the-biggest-players/,clickondetroit.com,Microsoft,MSFT
2026-06-04,AI companies are barreling toward huge Wall Street debuts . A look at the biggest players,https://www.wsls.com/tech/2026/06/04/ai-companies-are-barreling-toward-huge-wall-street-debuts-a-look-at-the-biggest-players/,wsls.com,Microsoft,MSFT
2026-06-04,史上最大IPO ， 定了 - CFi . CN 中财网,http://www.cfi.net.cn/p20260604000265.html,cfi.net.cn,Microsoft,MSFT
2026-06-04,Nvidia billionaire CEO is playing kingmaker : His prediction of the next trillion - dollar company sent its stock soaring,https://finance.yahoo.com/markets/stocks/articles/nvidias-billionaire-ceo-playing-kingmaker-202500849.html,finance.yahoo.com,Microsoft,MSFT
2026-06-04,Big Tech AI Spending Is on Track to Top $700 Billion This Year . Here Who May Cash In Next . ,https://www.fool.com/investing/2026/06/03/big-techs-ai-spending-is-on-track-to-top-700-billi/,fool.com,Microsoft,MSFT
